timestamp	imu.gyro.x	imu.gyro.y	imu.gyro.z	imu.acc.x	imu.acc.y	imu.acc.z	imu.status	imu.temperature
256551281491968	-0.04710827768	0.015598136	0.02259692922	0.1787716895	-0.1075842828	-9.55327034	0	51.61518097
256551281997598	-0.07069627941	0.01571797766	0.02317749709	0.1628373861	-0.09714202583	-9.686152458	0	52.10612869
256551282503295	-0.07066164166	0.01549160667	0.02288455144	0.1586939842	-0.1023152545	-9.670080185	0	52.08920288
256551283008981	-0.07046990842	0.01553155389	0.02306830883	0.1542632133	-0.1020038873	-9.674682617	0	52.05627823
256551283514689	-0.06986802071	0.01573661715	0.02303635329	0.1614961624	-0.1004950106	-9.680835724	0	52.02710342
256551284020378	-0.07072292268	0.01572063565	0.02287656069	0.1602986753	-0.1014769897	-9.680476189	0	51.96499634
256551284526068	-0.07036336511	0.01548894402	0.02279666997	0.1602746993	-0.09592053294	-9.676932335	0	51.93391418
256551285031765	-0.07024888694	0.01540372428	0.02280998603	0.1594843566	-0.1063627824	-9.681605339	0	51.87836456
256551285537441	-0.07076018304	0.01572597027	0.02299640328	0.156107381	-0.1030816436	-9.678821564	0	51.82564926
256551286043139	-0.07045926154	0.01552622486	0.02300972119	0.1639151275	-0.09867481142	-9.683734894	0	51.76731491
256551286548826	-0.0705711022	0.01589374617	0.02285792492	0.1646336466	-0.09963280708	-9.67135334	0	51.729702
256551287054514	-0.07039535791	0.01526257489	0.02261291258	0.1614003927	-0.1016685963	-9.676382065	0	51.67887115
256551287560206	-0.07057110965	0.01598696038	0.02307629958	0.1585502774	-0.09884242713	-9.679423332	0	51.63464355
256551288065884	-0.07055244595	0.01554753259	0.02283395454	0.1602986455	-0.09419613332	-9.671998024	0	51.59793854
256551288571578	-0.07057911158	0.01505218912	0.0227007959	0.1596280783	-0.107440576	-9.682944298	0	51.53484726
256551289077257	-0.07053650916	0.01541703939	0.0229058601	0.1544787139	-0.09829160571	-9.677459717	0	51.45012283
256551289582948	-0.07041131705	0.01521730237	0.02268747985	0.1548380554	-0.09671089798	-9.676116943	0	51.39744186
256551290088623	-0.07050719857	0.01545965392	0.02271411195	0.1585981846	-0.1021475568	-9.667686462	0	51.37673187
256551290594318	-0.07022757083	0.01458347403	0.02278868109	0.159915477	-0.09738148749	-9.666202545	0	51.35133362
256551291100025	-0.07068025321	0.01468733419	0.02288189158	0.1584065855	-0.1016446277	-9.68428421	0	51.29676437
256551291605675	-0.0704459399	0.01494033448	0.0227167774	0.1597717553	-0.09795628488	-9.682869911	0	51.20734787
256551292111364	-0.0705338344	0.01509479247	0.02267416753	0.1558678746	-0.09920171648	-9.66764164	0	51.13860703
256551292617032	-0.07020359486	0.01504419558	0.02267150581	0.1581910402	-0.1013332754	-9.675757408	0	51.11128998
256551293122718	-0.07056043297	0.01490038447	0.0228579212	0.1592927724	-0.1004231721	-9.68107605	0	51.06138229
256551293628399	-0.07063766569	0.01484712772	0.0228952039	0.1587897688	-0.09268726408	-9.675567627	0	51.00678635
256551294134073	-0.07043796778	0.01480184961	0.02278601378	0.1506706923	-0.08998090774	-9.672644615	0	50.9437294
256551294639781	-0.07054445893	0.01512941904	0.02282596566	0.1553170234	-0.09048381448	-9.668525696	0	50.896698
